Training begins...
Batch 550 | Loss: 0.057268
Batch 575 | Loss: 0.066684
Batch 600 | Loss: 0.054209
Batch 625 | Loss: 0.035216
Batch 650 | Loss: 0.058609
Batch 675 | Loss: 0.055613
Batch 700 | Loss: 0.071770
Batch 725 | Loss: 0.046112
Batch 750 | Loss: 0.043185
Batch 775 | Loss: 0.050000
Batch 800 | Loss: 0.082273
Batch 825 | Loss: 0.054920
Batch 850 | Loss: 0.069996
Batch 875 | Loss: 0.066457
Batch 900 | Loss: 0.057281
Batch 925 | Loss: 0.050268
Batch 950 | Loss: 0.060050
Batch 975 | Loss: 0.073841
Batch 1000 | Loss: 0.055979
Batch 1025 | Loss: 0.055523
Batch 1050 | Loss: 0.046433
Batch 1075 | Loss: 0.051873
Batch 1100 | Loss: 0.067579
Batch 1125 | Loss: 0.043524
Batch 1150 | Loss: 0.062395
Batch 1175 | Loss: 0.035807
Batch 1200 | Loss: 0.065918
Batch 1225 | Loss: 0.055099
Batch 1250 | Loss: 0.048558
Batch 1275 | Loss: 0.041901
Batch 1300 | Loss: 0.044713
Batch 1325 | Loss: 0.047490
Batch 1350 | Loss: 0.050380
Batch 1375 | Loss: 0.048332
Batch 1400 | Loss: 0.043766
Batch 1425 | Loss: 0.051169
Batch 1450 | Loss: 0.059075
Batch 1475 | Loss: 0.042456
Batch 1500 | Loss: 0.048079
Batch 1525 | Loss: 0.066178
Batch 1550 | Loss: 0.058684
Batch 1575 | Loss: 0.038172
Batch 1600 | Loss: 0.061722
Batch 1625 | Loss: 0.057080
Batch 1650 | Loss: 0.053315
Batch 1675 | Loss: 0.056044
Batch 1700 | Loss: 0.052658
Batch 1725 | Loss: 0.045120
Batch 1750 | Loss: 0.074850
Batch 1775 | Loss: 0.039281
Batch 1800 | Loss: 0.055180
Batch 1825 | Loss: 0.039131
Batch 1850 | Loss: 0.046175
Batch 1875 | Loss: 0.035645
Batch 1900 | Loss: 0.047342
Batch 1925 | Loss: 0.042089
Batch 1950 | Loss: 0.042472
Batch 1975 | Loss: 0.029992
Batch 2000 | Loss: 0.045377
Batch 2025 | Loss: 0.043374
Batch 2050 | Loss: 0.045112
Batch 2075 | Loss: 0.039107
Batch 2100 | Loss: 0.052800
Batch 2125 | Loss: 0.032023
Batch 2150 | Loss: 0.057610
Batch 2175 | Loss: 0.056136
Batch 2200 | Loss: 0.078227
Batch 2225 | Loss: 0.052175
Batch 2250 | Loss: 0.047800
Batch 2275 | Loss: 0.046227
Batch 2300 | Loss: 0.059307
Batch 2325 | Loss: 0.053847
Batch 2350 | Loss: 0.049002
Batch 2375 | Loss: 0.066089
Batch 2400 | Loss: 0.044013
Batch 2425 | Loss: 0.043639
Batch 2450 | Loss: 0.048260
Batch 2475 | Loss: 0.042422
Batch 2500 | Loss: 0.057375
Batch 2525 | Loss: 0.042247
Batch 2550 | Loss: 0.045834
Batch 2575 | Loss: 0.052015
Batch 2600 | Loss: 0.059520
Batch 2625 | Loss: 0.041577
Batch 2650 | Loss: 0.060246
Batch 2675 | Loss: 0.056924
Batch 2700 | Loss: 0.038373
Batch 2725 | Loss: 0.038886
Batch 2750 | Loss: 0.074082
Batch 2775 | Loss: 0.042617
Batch 2800 | Loss: 0.041688
Batch 2825 | Loss: 0.050767
Batch 2850 | Loss: 0.045767
Batch 2875 | Loss: 0.061449
Batch 2900 | Loss: 0.048722
Batch 2925 | Loss: 0.036517
Batch 2950 | Loss: 0.035343
Batch 2975 | Loss: 0.041480
Batch 3000 | Loss: 0.037982
Batch 3025 | Loss: 0.040180
Batch 3050 | Loss: 0.040265
Batch 3075 | Loss: 0.036545
Batch 3100 | Loss: 0.048047
Batch 3125 | Loss: 0.040821
Batch 3150 | Loss: 0.039119
Batch 3175 | Loss: 0.064218
Batch 3200 | Loss: 0.054580
Batch 3225 | Loss: 0.033138
Batch 3250 | Loss: 0.032090
Batch 3275 | Loss: 0.049196
Batch 3300 | Loss: 0.045552
Batch 3325 | Loss: 0.036483
Batch 3350 | Loss: 0.046090
Batch 3375 | Loss: 0.056807
Batch 3400 | Loss: 0.034704
Batch 3425 | Loss: 0.045792
