Training begins…
Epoch 02 | step 3950 | lr 2.99e-04 | train loss 1.1183
Epoch 02 | step 4000 | lr 2.99e-04 | train loss 1.1193
Epoch 02 | step 4050 | lr 2.99e-04 | train loss 1.1138
Epoch 02 | step 4100 | lr 2.99e-04 | train loss 1.1148
Epoch 02 | step 4150 | lr 2.99e-04 | train loss 1.1150
Epoch 02 | step 4200 | lr 2.99e-04 | train loss 1.1173
Epoch 02 | step 4250 | lr 2.99e-04 | train loss 1.1183
Epoch 02 | step 4300 | lr 2.99e-04 | train loss 1.1185
Epoch 02 | step 4350 | lr 2.99e-04 | train loss 1.1157
Epoch 02 | step 4400 | lr 2.99e-04 | train loss 1.1187
Epoch 02 | step 4450 | lr 2.99e-04 | train loss 1.1184
Epoch 02 | step 4500 | lr 2.99e-04 | train loss 1.1178
Epoch 02 | step 4550 | lr 2.99e-04 | train loss 1.1161
Epoch 02 | step 4600 | lr 2.99e-04 | train loss 1.1165
Epoch 02 | step 4650 | lr 2.99e-04 | train loss 1.1191
Epoch 02 | step 4700 | lr 2.99e-04 | train loss 1.1132
Epoch 02 | step 4750 | lr 2.99e-04 | train loss 1.1168
Epoch 02 | step 4800 | lr 2.99e-04 | train loss 1.1159
Epoch 02 | step 4850 | lr 2.99e-04 | train loss 1.1090
Epoch 02 | step 4900 | lr 2.99e-04 | train loss 1.1152
Epoch 02 | step 4950 | lr 2.99e-04 | train loss 1.1154
Epoch 02 | step 5000 | lr 2.99e-04 | train loss 1.1241
Epoch 02 | step 5050 | lr 2.99e-04 | train loss 1.1202
Epoch 02 | step 5100 | lr 2.99e-04 | train loss 1.1178
Epoch 02 | step 5150 | lr 2.99e-04 | train loss 1.1157
Epoch 02 | step 5200 | lr 2.99e-04 | train loss 1.1141
Epoch 02 | step 5250 | lr 2.99e-04 | train loss 1.1121
Epoch 02 | step 5300 | lr 2.99e-04 | train loss 1.1140
Epoch 02 | step 5350 | lr 2.99e-04 | train loss 1.1152
Epoch 02 | step 5400 | lr 2.99e-04 | train loss 1.1143
Epoch 02 | step 5450 | lr 2.99e-04 | train loss 1.1106
Epoch 02 | step 5500 | lr 2.99e-04 | train loss 1.1092
Epoch 02 | step 5550 | lr 2.98e-04 | train loss 1.1098
Epoch 02 | step 5600 | lr 2.98e-04 | train loss 1.1149
Epoch 02 | step 5650 | lr 2.98e-04 | train loss 1.1156
Epoch 02 | step 5700 | lr 2.98e-04 | train loss 1.1160
Epoch 02 | step 5750 | lr 2.98e-04 | train loss 1.1172
Epoch 02 | step 5800 | lr 2.98e-04 | train loss 1.1127
Epoch 02 | step 5850 | lr 2.98e-04 | train loss 1.1126
Epoch 02 | step 5900 | lr 2.98e-04 | train loss 1.1153
Epoch 02 | step 5950 | lr 2.98e-04 | train loss 1.1111
Epoch 02 | step 6000 | lr 2.98e-04 | train loss 1.1153
Epoch 02 | step 6050 | lr 2.98e-04 | train loss 1.1146
Epoch 02 | step 6100 | lr 2.98e-04 | train loss 1.1132
Epoch 02 | step 6150 | lr 2.98e-04 | train loss 1.1208
Epoch 02 | step 6200 | lr 2.98e-04 | train loss 1.1228
Epoch 02 | step 6250 | lr 2.98e-04 | train loss 1.1167
Epoch 02 | step 6300 | lr 2.98e-04 | train loss 1.1140
Epoch 02 | step 6350 | lr 2.98e-04 | train loss 1.1109
Epoch 02 | step 6400 | lr 2.98e-04 | train loss 1.1123
Epoch 02 | step 6450 | lr 2.98e-04 | train loss 1.1100
Epoch 02 | step 6500 | lr 2.98e-04 | train loss 1.1164
Epoch 02 | step 6550 | lr 2.98e-04 | train loss 1.1115
Epoch 02 | step 6600 | lr 2.98e-04 | train loss 1.1129
Epoch 02 | step 6650 | lr 2.98e-04 | train loss 1.1106
Epoch 02 | step 6700 | lr 2.98e-04 | train loss 1.1134
Epoch 02 | step 6750 | lr 2.98e-04 | train loss 1.1142
Epoch 02 | step 6800 | lr 2.98e-04 | train loss 1.1148
Epoch 02 | step 6850 | lr 2.98e-04 | train loss 1.1152
Epoch 02 | step 6900 | lr 2.98e-04 | train loss 1.1128
Epoch 02 | step 6950 | lr 2.98e-04 | train loss 1.1179
Epoch 02 | step 7000 | lr 2.98e-04 | train loss 1.1101
Epoch 02 | step 7050 | lr 2.98e-04 | train loss 1.1113
Epoch 02 | step 7100 | lr 2.98e-04 | train loss 1.1116
Epoch 02 | step 7150 | lr 2.98e-04 | train loss 1.1109
Epoch 02 | step 7200 | lr 2.98e-04 | train loss 1.1080
Epoch 02 | step 7250 | lr 2.98e-04 | train loss 1.1092
Epoch 02 | step 7300 | lr 2.98e-04 | train loss 1.1104
Epoch 02 | step 7350 | lr 2.98e-04 | train loss 1.1088
Epoch 02 | step 7400 | lr 2.98e-04 | train loss 1.1098
Epoch 02 | step 7450 | lr 2.98e-04 | train loss 1.1073
Epoch 02 | step 7500 | lr 2.98e-04 | train loss 1.1069
Epoch 02 | step 7550 | lr 2.98e-04 | train loss 1.1108
